6190,Delia,1883,F,162
6191,Sophia,1883,F,159
6192,Mayme,1883,F,157
6193,Millie,1883,F,155
6194,Estelle,1883,F,151
6195,Josie,1883,F,148
6196,Allie,1883,F,146
6197,Louisa,1883,F,143
6198,Lou,1883,F,142
6199,Dorothy,1883,F,141
6200,Inez,1883,F,141
6201,Maria,1883,F,141
6202,Essie,1883,F,139
6203,Evelyn,1883,F,139
6204,Barbara,1883,F,135
6205,Callie,1883,F,135
6206,Janie,1883,F,135
6207,Bettie,1883,F,130
6208,Beatrice,1883,F,126
6209,Ola,1883,F,126
6210,Winifred,1883,F,125
6211,Hazel,1883,F,123
6212,Betty,1883,F,120
6213,Luella,1883,F,120
6214,Mable,1883,F,120
6215,Cornelia,1883,F,116
6216,Nell,1883,F,116
6217,Rosie,1883,F,115
6218,Alta,1883,F,114
6219,Tillie,1883,F,114
6220,Ina,1883,F,113
6221,Victoria,1883,F,110
6222,Bertie,1883,F,106
6223,Eunice,1883,F,106
6224,Rena,1883,F,105
6225,Christine,1883,F,103
6226,Sophie,1883,F,103
6227,Verna,1883,F,103
6228,Celia,1883,F,101
6229,Dollie,1883,F,100
6230,Mathilda,1883,F,100
6231,Hilda,1883,F,99
6232,Bess,1883,F,94
6233,Birdie,1883,F,93
6234,Eula,1883,F,93
6235,Rhoda,1883,F,93
6236,Lucinda,1883,F,92
6237,Harriett,1883,F,91
6238,Isabelle,1883,F,91
6239,Leila,1883,F,90
6240,Mina,1883,F,89
6241,Adelaide,1883,F,85
6242,Johanna,1883,F,85
6243,Lelia,1883,F,84
6244,Isabel,1883,F,83
6245,Jean,1883,F,83
6246,Adeline,1883,F,82
6247,Lettie,1883,F,82
6248,Genevieve,1883,F,81
6249,Myra,1883,F,81
6250,Olga,1883,F,81
6251,Selma,1883,F,80
6252,Abbie,1883,F,79
6253,Katharine,1883,F,79
6254,Sylvia,1883,F,79
6255,Vera,1883,F,77
6256,Linnie,1883,F,76
6257,Lois,1883,F,76
6258,Lora,1883,F,76
6259,Loretta,1883,F,76
6260,Nelle,1883,F,76
6261,Hettie,1883,F,75
6262,Roxie,1883,F,75
6263,Violet,1883,F,74
6264,Mittie,1883,F,73
6265,Sally,1883,F,73
6266,Alberta,1883,F,72
6267,Elva,1883,F,72
6268,Hester,1883,F,72
6269,Gladys,1883,F,71
6270,Hulda,1883,F,71
6271,Marguerite,1883,F,70
6272,Bernice,1883,F,69
6273,Christina,1883,F,69
6274,Helena,1883,F,69
6275,Lila,1883,F,69
6276,Adele,1883,F,68
6277,Fanny,1883,F,68
6278,Gussie,1883,F,68
6279,Sue,1883,F,68
6280,Cecelia,1883,F,67
6281,Cynthia,1883,F,66
6282,Lenora,1883,F,66
6283,Lucille,1883,F,66
6284,Phoebe,1883,F,66
6285,Leah,1883,F,65
6286,Lura,1883,F,65
6287,Flossie,1883,F,64
6288,Teresa,1883,F,64
6289,Jeanette,1883,F,63
6290,Hallie,1883,F,62
6291,Lida,1883,F,62
6292,Lilly,1883,F,62
6293,Lily,1883,F,62
6294,Winnie,1883,F,62
6295,Virgie,1883,F,60
6296,Carolyn,1883,F,58
6297,Claudia,1883,F,58
6298,Alvina,1883,F,57
6299,Frieda,1883,F,57
6300,Emilie,1883,F,56
6301,Mabelle,1883,F,56
6302,Naomi,1883,F,56
6303,Lee,1883,F,55
6304,Ophelia,1883,F,55
6305,Zella,1883,F,55
6306,Francis,1883,F,54
6307,Isabella,1883,F,54
6308,Wilhelmina,1883,F,54
6309,Irma,1883,F,53
6310,Jeannette,1883,F,53
6311,Catharine,1883,F,52
6312,Meta,1883,F,52
6313,Minerva,1883,F,52
6314,Cordelia,1883,F,51
6315,Gertie,1883,F,51
6316,Goldie,1883,F,51
6317,Leola,1883,F,51
